Bezeichnung;Zeit;Wert;Einheit
NS_NSM;1940_07;106;mm
NS_NSM;1940_08;54;mm
NS_NSM;1940_09;56;mm
NS_NSM;1940_10;14;mm
NS_NSM;1940_11;71;mm
NS_NSM;1940_12;64;mm
NS_NSM;1941_01;36;mm
NS_NSM;1941_02;37;mm
NS_NSM;1941_03;67;mm
NS_NSM;1941_04;24;mm
NS_NSM;1941_05;48;mm
NS_NSM;1941_06;98;mm
NS_NSM;1941_07;51;mm
NS_NSM;1941_08;123;mm
NS_NSM;1941_09;20;mm
NS_NSM;1941_10;77;mm
NS_NSM;1941_11;31;mm
NS_NSM;1941_12;52;mm
NS_NSM;1942_01;43;mm
NS_NSM;1942_02;26;mm
NS_NSM;1942_03;30;mm
NS_NSM;1942_04;24;mm
NS_NSM;1942_05;82;mm
NS_NSM;1942_06;60;mm
NS_NSM;1942_07;91;mm
NS_NSM;1942_08;45;mm
NS_NSM;1942_09;31;mm
NS_NSM;1942_10;52;mm
NS_NSM;1942_11;50;mm
NS_NSM;1942_12;48;mm
NS_NSM;1943_01;49;mm
NS_NSM;1943_02;28;mm
NS_NSM;1943_03;21;mm
NS_NSM;1943_04;55;mm
NS_NSM;1943_05;53;mm
NS_NSM;1943_06;74;mm
NS_NSM;1943_07;32;mm
NS_NSM;1943_08;76;mm
NS_NSM;1943_09;68;mm
NS_NSM;1943_10;17;mm
NS_NSM;1943_11;71;mm
NS_NSM;1943_12;29;mm
NS_NSM;1944_01;52;mm
NS_NSM;1944_02;42;mm
NS_NSM;1944_03;41;mm
NS_NSM;1944_04;29;mm
NS_NSM;1944_05;42;mm
NS_NSM;1944_06;88;mm
NS_NSM;1944_07;96;mm
NS_NSM;1944_08;45;mm
NS_NSM;1944_09;68;mm
NS_NSM;1944_10;69;mm
NS_NSM;1944_11;101;mm
NS_NSM;1944_12;54;mm
NS_NSM;1945_01;55;mm
NS_NSM;1945_02;63;mm
NS_NSM;1945_03;26;mm
NS_NSM;1945_04;56;mm
NS_NSM;1945_05;84;mm
NS_NSM;1945_06;66;mm
NS_NSM;1945_07;50;mm
NS_NSM;1945_08;148;mm
NS_NSM;1945_09;70;mm
NS_NSM;1945_10;25;mm
NS_NSM;1945_11;35;mm
NS_NSM;1945_12;52;mm
NS_NSM;1946_01;20;mm
NS_NSM;1946_02;100;mm
NS_NSM;1946_03;26;mm
NS_NSM;1946_04;18;mm
NS_NSM;1946_05;62;mm
NS_NSM;1946_06;86;mm
NS_NSM;1946_07;56;mm
NS_NSM;1946_08;52;mm
NS_NSM;1946_09;57;mm
NS_NSM;1946_10;32;mm
NS_NSM;1946_11;24;mm
NS_NSM;1946_12;31;mm
NS_NSM;1947_01;25;mm
NS_NSM;1947_02;29;mm
NS_NSM;1947_03;55;mm
NS_NSM;1947_04;57;mm
NS_NSM;1947_05;52;mm
NS_NSM;1947_06;42;mm
NS_NSM;1947_07;33;mm
NS_NSM;1947_08;13;mm
NS_NSM;1947_09;24;mm
NS_NSM;1947_10;20;mm
NS_NSM;1947_11;80;mm
NS_NSM;1947_12;88;mm
NS_NSM;1948_01;79;mm
NS_NSM;1948_02;38;mm
NS_NSM;1948_03;21;mm
NS_NSM;1948_04;61;mm
NS_NSM;1948_05;60;mm
NS_NSM;1948_06;66;mm
NS_NSM;1948_07;100;mm
NS_NSM;1948_08;85;mm
NS_NSM;1948_09;27;mm
NS_NSM;1948_10;23;mm
NS_NSM;1948_11;34;mm
NS_NSM;1948_12;29;mm
NS_NSM;1949_01;20;mm
