Date,Mean,Month
2004-01-01,82.61946903,1
2004-02-01,44.73451327,2
2004-03-01,26.31858407,3
2004-04-01,54.69026549,4
2004-05-01,52.14159292,5
2004-06-01,56.84955752,6
2004-07-01,90.7079646,7
2004-08-01,97.95575221,8
2004-09-01,63.2920354,9
2004-10-01,31.11504425,10
2004-11-01,74.67256637,11
2004-12-01,38.30088496,12
2005-01-01,57.48672566,1
2005-02-01,61.36283186,2
2005-03-01,38.79646018,3
2005-04-01,60.46017699,4
2005-05-01,70.00884956,5
2005-06-01,73.92035398,6
2005-07-01,72.74336283,7
2005-08-01,66.18584071,8
2005-09-01,45.07964602,9
2005-10-01,42.40707965,10
2005-11-01,44.61946903,11
2005-12-01,41.22123894,12
2006-01-01,19.15929204,1
2006-02-01,54.80530973,2
2006-03-01,62.3539823,3
2006-04-01,50.97345133,4
2006-05-01,108.7079646,5
2006-06-01,43.11504425,6
2006-07-01,34.79646018,7
2006-08-01,142.2831858,8
2006-09-01,19.66371681,9
2006-10-01,40.11504425,10
2006-11-01,51.08849558,11
2006-12-01,42.0,12
2007-01-01,76.98230088,1
2007-02-01,64.34513274,2
2007-03-01,53.5840708,3
2007-04-01,0.486725664,4
2007-05-01,99.87610619,5
2007-06-01,85.48672566,6
2007-07-01,81.7079646,7
2007-08-01,132.2389381,8
2007-09-01,71.3539823,9
2007-10-01,39.05309735,10
2007-11-01,67.95575221,11
2007-12-01,53.53982301,12
2008-01-01,42.67256637,1
2008-02-01,42.61061947,2
2008-03-01,83.77876106,3
2008-04-01,53.83185841,4
2008-05-01,48.53097345,5
2008-06-01,62.9380531,6
2008-07-01,105.0973451,7
2008-08-01,66.38938053,8
2008-09-01,50.46017699,9
2008-10-01,52.47787611,10
2008-11-01,40.98230088,11
2008-12-01,40.15044248,12
2009-01-01,28.53097345,1
2009-02-01,52.7699115,2
2009-03-01,80.59292035,3
2009-04-01,44.96460177,4
2009-05-01,49.51327434,5
2009-06-01,71.0,6
2009-07-01,76.90265487,7
2009-08-01,50.77876106,8
2009-09-01,30.55752212,9
2009-10-01,55.99115044,10
2009-11-01,74.25663717,11
2009-12-01,66.86725664,12
2010-01-01,36.10619469,1
2010-02-01,43.74336283,2
2010-03-01,45.98230088,3
2010-04-01,10.40707965,4
2010-05-01,71.2300885,5
2010-06-01,19.85840708,6
2010-07-01,61.26548673,7
2010-08-01,160.1238938,8
2010-09-01,56.02654867,9
2010-10-01,36.86725664,10
2010-11-01,74.68141593,11
2010-12-01,62.95575221,12
2011-01-01,65.30088496,1
2011-02-01,41.54867257,2
2011-03-01,13.46017699,3
2011-04-01,18.07079646,4
2011-05-01,23.32743363,5
2011-06-01,83.69026549,6
2011-07-01,54.67256637,7
2011-08-01,100.3451327,8
2011-09-01,29.67256637,9
2011-10-01,38.22123894,10
2011-11-01,2.955752212,11
2011-12-01,101.159292,12
2012-01-01,77.67256637,1
2012-02-01,17.54867257,2
2012-03-01,15.86725664,3
2012-04-01,43.7699115,4
2012-05-01,39.15044248,5
2012-06-01,77.61061947,6
2012-07-01,92.87610619,7
2012-08-01,41.54867257,8
2012-09-01,29.82300885,9
2012-10-01,73.51327434,10
2012-11-01,30.71681416,11
2012-12-01,96.62831858,12
2013-01-01,35.47787611,1
2013-02-01,36.38053097,2
2013-03-01,29.33628319,3
2013-04-01,20.49557522,4
2013-05-01,86.26548673,5
2013-06-01,66.63716814,6
2013-07-01,34.57522124,7
2013-08-01,30.16814159,8
2013-09-01,73.39823009,9
2013-10-01,61.59292035,10
2013-11-01,64.13274336,11
2013-12-01,34.27433628,12
2014-01-01,31.15929204,1
2014-02-01,29.87610619,2
2014-03-01,9.442477876,3
2014-04-01,29.34513274,4
2014-05-01,74.7079646,5
2014-06-01,55.0619469,6
2014-07-01,141.4778761,7
2014-08-01,111.9026549,8
2014-09-01,36.08849558,9
2014-10-01,54.73451327,10
2014-11-01,33.99115044,11
2014-12-01,54.67256637,12
2015-01-01,63.43362832,1
2015-02-01,32.38053097,2
2015-03-01,42.59292035,3
2015-04-01,30.60176991,4
2015-05-01,27.54867257,5
2015-06-01,40.51327434,6
2015-07-01,53.52212389,7
2015-08-01,99.54867257,8
2015-09-01,71.08849558,9
2015-10-01,30.81415929,10
2015-11-01,68.97345133,11
2015-12-01,38.60176991,12
2016-01-01,60.55752212,1
2016-02-01,68.61061947,2
2016-03-01,45.67256637,3
2016-04-01,43.85840708,4
2016-05-01,54.14159292,5
2016-06-01,132.4778761,6
2016-07-01,34.21238938,7
2016-08-01,36.23893805,8
2016-09-01,15.94690265,9
2016-10-01,46.7699115,10
2016-11-01,52.80530973,11
2016-12-01,15.81415929,12
2017-01-01,31.55752212,1
2017-02-01,41.6460177,2
2017-03-01,49.99115044,3
2017-04-01,16.31858407,4
2017-05-01,45.80530973,5
2017-06-01,34.52212389,6
2017-07-01,97.17699115,7
2017-08-01,70.15044248,8
2017-09-01,67.00884956,9
2017-10-01,36.97345133,10
2017-11-01,52.7699115,11
2017-12-01,70.76106195,12
2018-01-01,64.79646018,1
2018-02-01,12.65486726,2
2018-03-01,47.83185841,3
2018-04-01,41.20353982,4
2018-05-01,52.73451327,5
2018-06-01,42.22123894,6
2018-07-01,13.65486726,7
2018-08-01,36.55752212,8
2018-09-01,43.09734513,9
2018-10-01,22.62831858,10
2018-11-01,18.74336283,11
2018-12-01,84.85840708,12
2019-01-01,67.45132743,1
2019-02-01,29.19469027,2
2019-03-01,76.42477876,3
2019-04-01,22.78761062,4
2019-05-01,59.9380531,5
2019-06-01,43.62831858,6
2019-07-01,37.36283186,7
2019-08-01,51.59292035,8
2019-09-01,35.65486726,9
2019-10-01,76.65486726,10
2019-11-01,68.23893805,11
2019-12-01,59.03539823,12
2020-01-01,26.75221239,1
2020-02-01,108.4070796,2
2020-03-01,58.9380531,3
2020-04-01,10.96460177,4
2020-05-01,14.54867257,5
2020-06-01,60.30088496,6
2020-07-01,31.9380531,7
2020-08-01,54.00884956,8
2020-09-01,43.99115044,9
2020-10-01,62.15044248,10
2020-11-01,18.95575221,11
2020-12-01,53.79646018,12
2021-01-01,82.46017699,1
2021-02-01,42.86725664,2
