Zeit,Wert,Einheit,SPI_1,SPI_3,SPI_6,SPI_12,SPI_24
1934-05-01,42,mm,-0.6309826437303971,-1.2793417986436222,-2.514396779952451,-2.5198282371454632,-3.0340290576052427
1934-06-01,74,mm,0.1887797096480722,-0.22565721841823583,-1.4364116106443412,-2.542466192780159,-2.7578871456806224
1934-07-01,25,mm,-2.2866189368101284,-1.4652442346103798,-2.098081417622955,-2.5529792266218974,-3.09
1934-08-01,43,mm,-0.4758532632361314,-1.2029774110420108,-1.8794089429076972,-2.794616291258894,-3.09
1934-09-01,25,mm,-1.2181622010127247,-2.4726722856208543,-1.8642879822778542,-2.905009272770703,-3.09
1934-10-01,61,mm,0.44960373708950835,-0.6414018482738346,-1.3677350036031741,-2.546685376526094,-3.09
1934-11-01,30,mm,-1.32909516910588,-0.9370358061303934,-1.4639157374231933,-2.7095636115398394,-3.09
1934-12-01,72,mm,0.5726530455738058,0.016269112787098746,-1.2843162468804532,-1.9810337132241194,-3.09
1935-01-01,49,mm,0.12297722278385541,-0.2414708511535865,-0.6267845819758663,-1.7549081386837437,-2.897477070350449
1935-02-01,71,mm,1.1332453136605962,0.9348641264958407,0.01161940990123535,-1.1929405650140703,-2.573873643453861
1935-03-01,17,mm,-1.631617825914191,-0.12948021134171814,-0.10001613556951851,-1.158177282101482,-2.4241906197701533
1935-04-01,119,mm,2.6127287925968092,1.3667191813479347,0.8454599128890242,-0.41090147705466723,-1.5928559701002585
1935-05-01,24,mm,-1.6248600314445845,0.03268457924972114,0.6608907416652099,-0.6317665532176822,-2.0448937886107537
1935-06-01,77,mm,0.2786650964045019,0.8761635833552999,0.48425121438388175,-0.5754814472878373,-2.198542531903794
1935-07-01,14,mm,-3.09,-2.284812785031435,-0.2745808301033337,-0.6624599487445793,-2.3726723185835623
1935-08-01,27,mm,-1.35331562114323,-1.8792509091918301,-1.3776184357305583,-0.8796402610702028,-2.7519136848574344
1935-09-01,81,mm,0.9215818560404427,-1.4872966012358368,-0.2615890599898374,-0.27917113764589996,-2.1700709799664786
1935-10-01,67,mm,0.6205857796261572,0.25674106255890783,-1.0458428187891906,-0.2253707605774712,-1.8903166154471758
1935-11-01,24,mm,-1.7975187421258894,0.25204908762544076,-0.947196832163937,-0.2576807507555983,-2.0682101368130286
1935-12-01,48,mm,-0.20380139748045395,-0.5183710171371655,-1.2018016629572705,-0.5362236715087827,-1.8244633250359965
1936-01-01,46,mm,0.012969702610559242,-1.1651740214915618,-0.44436823730403213,-0.5376738663342339,-1.5887579048571099
1936-02-01,45,mm,0.3112041091786677,-0.13132679506237002,0.05164395871246366,-0.8744376170769093,-1.3834462494395139
1936-03-01,11,mm,-2.1684602523469527,-0.999150869017972,-1.0028401067315014,-0.8959731183883718,-1.374727911258605
1936-04-01,116,mm,2.5349624588444932,0.715179199981331,-0.20754673439812382,-0.8967816400462107,-0.9047624858326689
1936-05-01,25,mm,-1.5576962073120244,-0.1608939953860798,-0.2625399457656318,-0.9488084037108944,-1.0557934027342637
1936-06-01,93,mm,0.7226235902364269,1.1319442977096703,0.18631133206304124,-0.742338375489796,-0.9725396133159874
1936-07-01,102,mm,1.4731449970157535,0.5193353169997065,0.7955715737814155,0.1405922811274943,-0.4016842059852952
1936-08-01,57,mm,0.12113519377742556,1.167971194076849,0.7710495402572288,0.48575878820176926,-0.2846986517711996
1936-09-01,37,mm,-0.5910418739812511,0.4497792456297557,1.1734136610780734,0.028351709681562434,-0.18824410488361284
1936-10-01,54,mm,0.2354646505608022,-0.24782777417619165,0.0824757376871661,-0.11868364101104922,-0.265431179843512
1936-11-01,41,mm,-0.6183634843304902,-0.56355215845416,0.37658626799653466,0.07378135130959286,-0.17536034985732948
